Date(UTC);Pair;Base Asset;Quote Asset;Type;Price;Amount;Total;Fee;Fee Coin
2025-07-19 20:11:52;BTC/EUR;BTC;EUR;SELL;101532.46;0.00734;745.2482564;0.70798584;EUR
2025-07-19 20:11:42;BTC/EUR;BTC;EUR;BUY;101540.72;0.00006;6.0924432;0.00000006;BTC
2025-07-19 20:11:42;BTC/EUR;BTC;EUR;BUY;101535.48;0.00068;69.0441264;0.00000065;BTC
2025-07-19 20:11:42;BTC/EUR;BTC;EUR;BUY;101540.56;0.00051;51.7856856;0.00000048;BTC
2025-07-19 20:11:42;BTC/EUR;BTC;EUR;BUY;101535.48;0.00006;6.0921288;0.00000006;BTC
2025-07-19 20:11:42;BTC/EUR;BTC;EUR;BUY;101543.35;0.02396;2432.978666;0.00002276;BTC
2025-07-19 20:10:29;BTC/EUR;BTC;EUR;SELL;101519.76;0.00063;63.9574488;0.06075958;EUR
2025-07-19 20:10:29;BTC/EUR;BTC;EUR;SELL;101514.52;0.00006;6.0908712;0.00578633;EUR
2025-07-19 20:10:29;BTC/EUR;BTC;EUR;SELL;101519.76;0.00006;6.0911856;0.00578663;EUR
2025-07-19 20:10:29;BTC/EUR;BTC;EUR;SELL;101510.42;0.01976;2005.8458992;1.9055536;EUR
2025-07-19 20:10:29;BTC/EUR;BTC;EUR;SELL;101510.43;0.00376;381.6792168;0.36259526;EUR
2025-07-19 20:10:29;BTC/EUR;BTC;EUR;SELL;101511.03;0.0005;50.755515;0.04821774;EUR
2025-07-19 20:10:29;BTC/EUR;BTC;EUR;SELL;101513.95;0.0005;50.756975;0.04821913;EUR
2025-07-19 20:10:19;BTC/EUR;BTC;EUR;BUY;101533.52;0.00752;763.5320704;0.00000714;BTC
2025-07-19 20:10:19;BTC/EUR;BTC;EUR;BUY;101533.52;0.00375;380.7507;0.00000356;BTC
2025-07-19 20:10:19;BTC/EUR;BTC;EUR;BUY;101533.52;0.014;1421.46928;0.0000133;BTC
2025-07-19 20:09:06;BTC/EUR;BTC;EUR;SELL;101547.17;0.0109;1106.864153;1.05152095;EUR
2025-07-19 20:09:06;BTC/EUR;BTC;EUR;SELL;101547.17;0.0033;335.105661;0.31835038;EUR
